#thresh	dac
112	0
116	50
116	100
118	150
118	200
118	250
118	300
118	350
118	400
124	450
126	500
132	550
134	600
134	650
134	700
138	750
140	800
144	850
144	900
146	950
148	1000
150	1050
154	1100
158	1150
158	1200
162	1250
162	1300
164	1350
168	1400
168	1450
176	1500
182	1550
182	1600
184	1650
184	1700
188	1750
192	1800
192	1850
192	1900
192	1950
194	2000
194	2050
206	2100
208	2150
210	2200
220	2250
220	2300
224	2350
226	2400
228	2450
228	2500
234	2550
236	2600
240	2650
240	2700
246	2750
250	2800
252	2850
254	2900
258	2950
