#thresh	dac
122	0
122	50
122	100
122	150
124	200
124	250
130	300
132	350
134	400
136	450
138	500
140	550
142	600
142	650
142	700
146	750
152	800
156	850
158	900
158	950
164	1000
164	1050
164	1100
166	1150
168	1200
168	1250
174	1300
180	1350
180	1400
182	1450
186	1500
186	1550
188	1600
196	1650
196	1700
200	1750
202	1800
202	1850
206	1900
206	1950
208	2000
210	2050
214	2100
238	2150
238	2200
238	2250
238	2300
238	2350
238	2400
238	2450
242	2500
244	2550
244	2600
252	2650
252	2700
254	2750
254	2800
258	2850
