#thresh	dac
116	0
116	50
118	100
120	150
122	200
126	250
126	300
130	350
132	400
136	450
136	500
138	550
140	600
144	650
146	700
148	750
150	800
152	850
158	900
160	950
160	1000
164	1050
166	1100
166	1150
166	1200
174	1250
174	1300
176	1350
182	1400
184	1450
188	1500
192	1550
192	1600
192	1650
198	1700
198	1750
200	1800
202	1850
206	1900
210	1950
210	2000
212	2050
214	2100
218	2150
222	2200
230	2250
230	2300
230	2350
234	2400
238	2450
240	2500
244	2550
244	2600
250	2650
250	2700
250	2750
258	2800
