#thresh	dac
110	0
118	50
120	100
120	150
124	200
128	250
128	300
132	350
134	400
136	450
136	500
144	550
144	600
144	650
144	700
150	750
150	800
152	850
152	900
152	950
158	1000
158	1050
158	1100
166	1150
170	1200
170	1250
172	1300
172	1350
172	1400
182	1450
182	1500
186	1550
192	1600
194	1650
196	1700
198	1750
202	1800
202	1850
204	1900
204	1950
212	2000
214	2050
222	2100
222	2150
222	2200
222	2250
222	2300
230	2350
230	2400
234	2450
242	2500
244	2550
246	2600
246	2650
