thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	2	1600	1131.37
-40	7	5600	2116.6
-36	16	12800	3200
-32	39	31200	4996
-28	24	19200	3919.18
-24	96	76800	7838.37
-20	412	329600	16238.2
-16	978	782400	25018.4
-12	1256	1.0048e+06	28352.1
-8	1316	1.0528e+06	29021.4
-4	1151	920800	27141.1
0	676	540800	20800
4	162	129600	10182.3
8	41	32800	5122.5
12	30	24000	4381.78
16	17	13600	3298.48
20	10	8000	2529.82
24	3	2400	1385.64
28	0	0	
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
