thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	7	5600	2116.6
-60	18	14400	3394.11
-56	31	24800	4454.21
-52	56	44800	5986.65
-48	80	64000	7155.42
-44	102	81600	8079.6
-40	103	82400	8119.11
-36	103	82400	8119.11
-32	154	123200	9927.74
-28	363	290400	15242
-24	800	640000	22627.4
-20	1077	861600	26254.1
-16	1234	987200	28102.7
-12	1339	1.0712e+06	29273.9
-8	1359	1.0872e+06	29491.7
-4	1327	1.0616e+06	29142.4
0	1151	920800	27141.1
4	673	538400	20753.8
8	272	217600	13193.9
12	103	82400	8119.11
16	82	65600	7244.31
20	107	85600	8275.26
24	94	75200	7756.29
28	64	51200	6400
32	45	36000	5366.56
36	15	12000	3098.39
40	7	5600	2116.6
44	5	4000	1788.85
48	0	0	
52	1	800	800
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
