thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	0	0	
-40	0	0	
-36	2	1600	1131.37
-32	4	3200	1600
-28	19	15200	3487.12
-24	48	38400	5542.56
-20	95	76000	7797.44
-16	159	127200	10087.6
-12	354	283200	15051.9
-8	792	633600	22514
-4	1110	888000	26653.3
0	1254	1.0032e+06	28329.5
4	1168	934400	27340.8
8	856	684800	23406
12	378	302400	15553.8
16	133	106400	9226.05
20	69	55200	6645.3
24	49	39200	5600
28	16	12800	3200
32	6	4800	1959.59
36	1	800	800
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
