thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	2	1600	1131.37
-44	2	1600	1131.37
-40	6	4800	1959.59
-36	21	16800	3666.06
-32	51	40800	5713.14
-28	88	70400	7504.67
-24	133	106400	9226.05
-20	268	214400	13096.6
-16	735	588000	21688.7
-12	1152	921600	27152.9
-8	1314	1.0512e+06	28999.3
-4	1344	1.0752e+06	29328.5
0	1129	903200	26880.5
4	538	430400	18555.9
8	155	124000	9959.92
12	92	73600	7673.33
16	67	53600	6548.28
20	28	22400	4233.2
24	5	4000	1788.85
28	2	1600	1131.37
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
