thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	1	800	800
-48	2	1600	1131.37
-44	10	8000	2529.82
-40	19	15200	3487.12
-36	25	20000	4000
-32	33	26400	4595.65
-28	30	24000	4381.78
-24	75	60000	6928.2
-20	372	297600	15429.8
-16	853	682400	23364.9
-12	1175	940000	27422.6
-8	1336	1.0688e+06	29241.1
-4	1383	1.1064e+06	29751
0	1266	1.0128e+06	28464.7
4	862	689600	23487.9
8	311	248800	14108.2
12	69	55200	6645.3
16	31	24800	4454.21
20	20	16000	3577.71
24	9	7200	2400
28	8	6400	2262.74
32	1	800	800
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
