thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	3	2400	1385.64
-52	1	800	800
-48	3	2400	1385.64
-44	17	13600	3298.48
-40	13	10400	2884.44
-36	22	17600	3752.33
-32	21	16800	3666.06
-28	29	23200	4308.13
-24	52	41600	5768.88
-20	233	186400	12211.5
-16	633	506400	20127.6
-12	1026	820800	25625
-8	1222	977600	27965.7
-4	1268	1.0144e+06	28487.2
0	1232	985600	28079.9
4	1064	851200	26095.2
8	685	548000	20938
12	281	224800	13410.4
16	57	45600	6039.87
20	34	27200	4664.76
24	24	19200	3919.18
28	13	10400	2884.44
32	5	4000	1788.85
36	5	4000	1788.85
40	1	800	800
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
