thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	9	7200	2400
-52	16	12800	3200
-48	54	43200	5878.78
-44	100	80000	8000
-40	113	90400	8504.12
-36	134	107200	9260.67
-32	118	94400	8690.22
-28	147	117600	9699.48
-24	258	206400	12849.9
-20	544	435200	18659
-16	952	761600	24683.6
-12	1198	958400	27689.7
-8	1317	1.0536e+06	29032.4
-4	1344	1.0752e+06	29328.5
0	1273	1.0184e+06	28543.3
4	1010	808000	25424.4
8	569	455200	19083
12	251	200800	12674.4
16	109	87200	8352.25
20	85	68000	7375.64
24	87	69600	7461.9
28	54	43200	5878.78
32	48	38400	5542.56
36	17	13600	3298.48
40	7	5600	2116.6
44	1	800	800
48	3	2400	1385.64
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
