thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	0	0	
-40	0	0	
-36	2	1600	1131.37
-32	3	2400	1385.64
-28	12	9600	2771.28
-24	16	12800	3200
-20	25	20000	4000
-16	62	49600	6299.21
-12	434	347200	16666.1
-8	1023	818400	25587.5
-4	1311	1.0488e+06	28966.2
0	1381	1.1048e+06	29729.4
4	1170	936000	27364.2
8	658	526400	20521.2
12	181	144800	10762.9
16	41	32800	5122.5
20	5	4000	1788.85
24	6	4800	1959.59
28	1	800	800
32	1	800	800
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
