#thresh	rate
-78	0	0
-76	1	400
-74	0	0
-72	0	0
-70	0	0
-68	1	400
-66	0	0
-64	1	400
-62	0	0
-60	6	2400
-58	11	4400
-56	21	8400
-54	41	16400
-52	59	23600
-50	70	28000
-48	99	39600
-46	159	63600
-44	166	66400
-42	193	77200
-40	210	84000
-38	183	73200
-36	160	64000
-34	204	81600
-32	234	93600
-30	221	88400
-28	300	120000
-26	381	152400
-24	493	197200
-22	701	280400
-20	709	283600
-18	1114	445600
-16	1405	562000
-14	1801	720400
-12	2120	848000
-10	2362	944800
-8	2497	998800
-6	2559	1.0236e+06
-4	2526	1.0104e+06
-2	2423	969200
0	2287	914800
2	1700	680000
4	1226	490400
6	935	374000
8	750	300000
10	703	281200
12	385	154000
14	316	126400
16	215	86000
18	225	90000
20	228	91200
22	220	88000
24	202	80800
26	192	76800
28	178	71200
30	130	52000
32	134	53600
34	82	32800
36	44	17600
38	36	14400
40	20	8000
42	14	5600
44	109	43600
46	186	74400
48	150	60000
50	18	7200
52	0	0
54	0	0
56	0	0
58	0	0
60	0	0
62	0	0
64	0	0
66	0	0
68	0	0
70	0	0
72	0	0
74	0	0
