thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	2	1000	707.107
-62	1	500	500
-58	6	3000	1224.74
-54	13	6500	1802.78
-50	33	16500	2872.28
-46	65	32500	4031.13
-42	120	60000	5477.23
-38	224	112000	7483.31
-34	294	147000	8573.21
-30	445	222500	10547.5
-26	755	377500	13738.6
-22	1570	785000	19811.6
-18	4681	2.3405e+06	34208.9
-14	14375	7.1875e+06	59947.9
-10	12653	1.2653e+07	112486
-6	13268	1.3268e+07	115187
-2	12539	1.2539e+07	111978
2	4148	4.148e+06	64405
6	904	904000	30066.6
10	274	274000	16552.9
14	120	120000	10954.5
18	79	79000	8888.19
22	52	52000	7211.1
26	25	25000	5000
30	15	15000	3872.98
34	6	6000	2449.49
38	1	1000	1000
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
