thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	0	0	
-46	0	0	
-42	0	0	
-38	0	0	
-34	3	1500	866.025
-30	21	10500	2291.29
-26	85	42500	4609.77
-22	167	83500	6461.42
-18	604	302000	12288.2
-14	2334	1.167e+06	24155.7
-10	11031	5.5155e+06	52514.3
-6	14431	1.4431e+07	120129
-2	12631	1.2631e+07	112388
2	6381	6.381e+06	79881.2
6	229	229000	15132.7
10	23	23000	4795.83
14	1	1000	1000
18	0	0	
22	0	0	
26	0	0	
30	0	0	
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
