thr	hits	freq	error
-74	0	0	
-70	3	1500	866.025
-66	4	2000	1000
-62	15	7500	1936.49
-58	27	13500	2598.08
-54	62	31000	3937
-50	95	47500	4873.4
-46	151	75500	6144.1
-42	181	90500	6726.81
-38	365	182500	9552.49
-34	384	192000	9797.96
-30	593	296500	12175.8
-26	797	398500	14115.6
-22	1605	802500	20031.2
-18	3548	1.774e+06	29782.5
-14	11853	5.9265e+06	54435.7
-10	12340	1.234e+07	111086
-6	13338	1.3338e+07	115490
-2	13344	1.3344e+07	115516
2	10603	1.0603e+07	102971
6	5166	5.166e+06	71874.9
10	2158	2.158e+06	46454.3
14	833	833000	28861.7
18	480	480000	21908.9
22	214	214000	14628.7
26	143	143000	11958.3
30	135	135000	11619
34	87	87000	9327.38
38	35	35000	5916.08
42	23	23000	4795.83
46	12	12000	3464.1
50	9	9000	3000
54	0	0	
58	0	0	
62	1	1000	1000
66	0	0	
70	0	0	
74	0	0	
