thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	1	800	800
-56	1	800	800
-52	0	0	
-48	8	6400	2262.74
-44	11	8800	2653.3
-40	21	16800	3666.06
-36	23	18400	3836.67
-32	18	14400	3394.11
-28	48	38400	5542.56
-24	115	92000	8579.04
-20	484	387200	17600
-16	1016	812800	25499.8
-12	1310	1.048e+06	28955.1
-8	1330	1.064e+06	29175.3
-4	1005	804000	25361.4
0	449	359200	16951.7
4	41	32800	5122.5
8	26	20800	4079.22
12	31	24800	4454.21
16	19	15200	3487.12
20	18	14400	3394.11
24	8	6400	2262.74
28	1	800	800
32	0	0	
36	1	800	800
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
