thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	1	800	800
-52	3	2400	1385.64
-48	8	6400	2262.74
-44	37	29600	4866.21
-40	73	58400	6835.2
-36	75	60000	6928.2
-32	87	69600	7461.9
-28	146	116800	9666.44
-24	313	250400	14153.4
-20	756	604800	21996.4
-16	1110	888000	26653.3
-12	1278	1.0224e+06	28599.3
-8	1325	1.06e+06	29120.4
-4	1250	1e+06	28284.3
0	1004	803200	25348.8
4	453	362400	17027
8	146	116800	9666.44
12	87	69600	7461.9
16	83	66400	7288.35
20	46	36800	5425.86
24	18	14400	3394.11
28	4	3200	1600
32	2	1600	1131.37
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
