thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	1	800	800
-72	1	800	800
-68	4	3200	1600
-64	6	4800	1959.59
-60	11	8800	2653.3
-56	24	19200	3919.18
-52	27	21600	4156.92
-48	22	17600	3752.33
-44	24	19200	3919.18
-40	24	19200	3919.18
-36	53	42400	5824.09
-32	189	151200	10998.2
-28	541	432800	18607.5
-24	960	768000	24787.1
-20	1170	936000	27364.2
-16	1285	1.028e+06	28677.5
-12	1350	1.08e+06	29393.9
-8	1320	1.056e+06	29065.4
-4	1181	944800	27492.5
0	837	669600	23144.8
4	335	268000	14642.4
8	91	72800	7631.51
12	35	28000	4732.86
16	29	23200	4308.13
20	19	15200	3487.12
24	20	16000	3577.71
28	17	13600	3298.48
32	20	16000	3577.71
36	9	7200	2400
40	4	3200	1600
44	1	800	800
48	2	1600	1131.37
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
