thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	0	0	
-40	3	2400	1385.64
-36	12	9600	2771.28
-32	30	24000	4381.78
-28	63	50400	6349.8
-24	122	97600	8836.29
-20	223	178400	11946.5
-16	554	443200	18829.8
-12	1026	820800	25625
-8	1247	997600	28250.3
-4	1310	1.048e+06	28955.1
0	1159	927200	27235.3
4	666	532800	20645.6
8	218	174400	11811.9
12	102	81600	8079.6
16	68	54400	6596.97
20	16	12800	3200
24	2	1600	1131.37
28	0	0	
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
