thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	1	800	800
-64	1	800	800
-60	1	800	800
-56	2	1600	1131.37
-52	16	12800	3200
-48	30	24000	4381.78
-44	8	6400	2262.74
-40	15	12000	3098.39
-36	22	17600	3752.33
-32	46	36800	5425.86
-28	88	70400	7504.67
-24	298	238400	13810.1
-20	726	580800	21555.5
-16	1113	890400	26689.3
-12	1287	1.0296e+06	28699.8
-8	1342	1.0736e+06	29306.7
-4	1341	1.0728e+06	29295.7
0	1241	992800	28182.3
4	933	746400	24436
8	445	356000	16876
12	140	112000	9465.73
16	39	31200	4996
20	19	15200	3487.12
24	38	30400	4931.53
28	25	20000	4000
32	17	13600	3298.48
36	6	4800	1959.59
40	1	800	800
44	1	800	800
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
