thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	1	800	800
-52	3	2400	1385.64
-48	9	7200	2400
-44	14	11200	2993.33
-40	26	20800	4079.22
-36	34	27200	4664.76
-32	48	38400	5542.56
-28	247	197600	12573
-24	701	560800	21181.1
-20	1050	840000	25923
-16	1234	987200	28102.7
-12	1283	1.0264e+06	28655.2
-8	1182	945600	27504.2
-4	884	707200	23785.7
0	374	299200	15471.3
4	68	54400	6596.97
8	24	19200	3919.18
12	14	11200	2993.33
16	1	800	800
20	1	800	800
24	0	0	
28	0	0	
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
