thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	5	4000	1788.85
-48	6	4800	1959.59
-44	18	14400	3394.11
-40	34	27200	4664.76
-36	62	49600	6299.21
-32	95	76000	7797.44
-28	89	71200	7547.18
-24	117	93600	8653.32
-20	244	195200	12496.4
-16	556	444800	18863.7
-12	1014	811200	25474.7
-8	1241	992800	28182.3
-4	1348	1.0784e+06	29372.1
0	1309	1.0472e+06	28944.1
4	1156	924800	27200
8	782	625600	22371.4
12	356	284800	15094.4
16	148	118400	9732.42
20	101	80800	8039.9
24	86	68800	7418.89
28	79	63200	7110.56
32	47	37600	5484.52
36	18	14400	3394.11
40	3	2400	1385.64
44	2	1600	1131.37
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
