thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	1	800	800
-64	6	4800	1959.59
-60	10	8000	2529.82
-56	17	13600	3298.48
-52	33	26400	4595.65
-48	13	10400	2884.44
-44	15	12000	3098.39
-40	45	36000	5366.56
-36	36	28800	4800
-32	41	32800	5122.5
-28	87	69600	7461.9
-24	260	208000	12899.6
-20	602	481600	19628.6
-16	975	780000	24980
-12	1184	947200	27527.4
-8	1282	1.0256e+06	28644
-4	1323	1.0584e+06	29098.5
0	1279	1.0232e+06	28610.5
4	1206	964800	27782
8	1073	858400	26205.3
12	797	637600	22585
16	431	344800	16608.4
20	182	145600	10792.6
24	129	103200	9086.25
28	79	63200	7110.56
32	93	74400	7714.92
36	100	80000	8000
40	94	75200	7756.29
44	60	48000	6196.77
48	10	8000	2529.82
52	7	5600	2116.6
56	4	3200	1600
60	1	800	800
64	0	0	
68	0	0	
72	0	0	
