thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	0	0	
-40	0	0	
-36	0	0	
-32	1	800	800
-28	4	3200	1600
-24	13	10400	2884.44
-20	34	27200	4664.76
-16	88	70400	7504.67
-12	399	319200	15980
-8	981	784800	25056.7
-4	1245	996000	28227.6
0	1258	1.0064e+06	28374.6
4	912	729600	24159.5
8	331	264800	14554.7
12	52	41600	5768.88
16	25	20000	4000
20	4	3200	1600
24	1	800	800
28	0	0	
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
