thr	hits	freq	error
-54	1	100	100
-50	6	600	244.949
-46	8	800	282.843
-42	12	1200	346.41
-38	29	2900	538.516
-34	41	4100	640.312
-30	68	6800	824.621
-26	181	18100	1345.36
-22	559	55900	2364.32
-18	1635	163500	4043.51
-14	5031	2.0124e+06	28371.8
-10	20364	8.1456e+06	57081
-6	15533	1.24264e+07	99705.2
-2	15899	1.27192e+07	100873
2	8492	6.7936e+06	73721.6
6	1165	932000	27305.7
10	304	243200	13948.5
14	115	92000	8579.04
18	69	55200	6645.3
22	42	33600	5184.59
26	9	7200	2400
30	0	0	
34	0	0	
38	0	0	
42	0	0	
