#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
1	-60	313	0	0	1	0	2951	5	73778.906250ns
2	-60	314	0	0	1	0	1697	9	42432.031250ns
3	-60	316	0	0	1	0	3689	21	92241.406250ns
4	-60	321	0	0	1	0	3816	11	95408.593750ns
5	-60	340	0	0	1	0	2231	7	55780.468750ns
6	-56	355	0	0	1	0	953	0	23825.000000ns
7	-56	363	0	0	1	0	4045	30	101148.437500ns
8	-56	363	1	0	1	0	556	10	13907.812500ns
9	-56	367	0	0	1	0	1218	5	30453.906250ns
10	-56	367	1	0	1	0	1306	22	32667.187500ns
11	-56	378	0	0	1	0	1995	22	49892.187500ns
12	-56	380	0	0	1	0	1134	10	28357.812500ns
13	-56	383	0	0	1	0	1608	19	40214.843750ns
14	-56	398	0	0	1	0	3841	6	96029.687500ns
15	-52	405	0	0	1	0	597	7	14930.468750ns
16	-52	414	0	0	1	0	3796	28	94921.875000ns
17	-52	416	0	0	1	0	1493	8	37331.250000ns
18	-52	416	1	0	1	0	1794	22	44867.187500ns
19	-52	417	0	0	1	0	3753	22	93842.187500ns
20	-52	417	1	0	1	0	3960	5	99003.906250ns
21	-52	419	0	0	1	0	694	0	17350.000000ns
22	-52	419	1	0	1	0	995	27	24896.093750ns
23	-52	420	0	0	1	0	2535	25	63394.531250ns
24	-52	420	1	0	1	0	2837	15	70936.718750ns
25	-52	427	0	0	1	0	1521	0	38025.000000ns
26	-52	437	0	0	1	0	3258	9	81457.031250ns
27	-52	437	1	0	1	0	3345	18	83639.062500ns
28	-52	438	0	0	1	0	1512	17	37813.281250ns
29	-52	441	0	0	1	0	1725	3	43127.343750ns
30	-52	441	1	0	1	0	1819	7	45480.468750ns
31	-52	447	0	0	1	0	3648	13	91210.156250ns
32	-52	448	0	0	1	0	50	11	1258.593750ns
33	-48	452	0	0	1	0	3697	7	92430.468750ns
34	-48	452	1	0	1	0	3703	31	92599.218750ns
35	-48	452	2	0	1	0	3798	13	94960.156250ns
36	-48	454	0	0	1	0	3252	19	81314.843750ns
37	-48	454	1	0	1	0	3258	13	81460.156250ns
38	-48	455	0	0	1	0	3800	19	95014.843750ns
39	-48	455	1	0	1	0	3895	14	97385.937500ns
40	-48	456	0	0	1	0	1889	23	47242.968750ns
41	-48	456	1	0	1	0	1977	28	49446.875000ns
42	-48	465	0	0	1	0	3265	11	81633.593750ns
43	-48	465	1	0	1	0	3277	27	81946.093750ns
44	-48	469	0	0	1	0	1815	9	45382.031250ns
45	-48	471	0	0	1	0	4027	27	100696.093750ns
46	-48	471	1	0	1	0	4034	8	100856.250000ns
47	-48	471	2	0	1	0	27	1	675.781250ns
48	-48	472	0	0	1	0	3510	3	87752.343750ns
49	-48	472	1	0	1	0	3717	21	92941.406250ns
50	-48	473	0	0	1	0	1688	0	42200.000000ns
51	-48	474	0	0	1	0	243	3	6077.343750ns
52	-48	474	1	0	1	0	339	5	8478.906250ns
53	-48	475	0	0	1	0	3065	28	76646.875000ns
54	-48	475	1	0	1	0	3367	2	84176.562500ns
55	-48	476	0	0	1	0	1701	6	42529.687500ns
56	-48	476	1	0	1	0	1915	6	47879.687500ns
57	-48	476	2	0	1	0	2009	31	50249.218750ns
58	-48	476	3	0	1	0	2012	25	50319.531250ns
59	-48	477	0	0	1	0	473	18	11839.062500ns
60	-48	478	0	0	1	0	3239	12	80984.375000ns
61	-48	478	1	0	1	0	3541	11	88533.593750ns
62	-48	479	0	0	1	0	2095	16	52387.500000ns
63	-48	479	1	0	1	0	2190	21	54766.406250ns
64	-48	480	0	0	1	0	4022	24	100568.750000ns
65	-48	480	1	0	1	0	140	20	3515.625000ns
66	-48	480	2	0	1	0	234	30	5873.437500ns
67	-48	497	0	0	1	0	1606	16	40162.500000ns
68	-48	497	1	0	1	0	1694	12	42359.375000ns
69	-48	498	0	0	1	0	926	13	23160.156250ns
70	-44	505	0	0	1	0	27	27	696.093750ns
71	-44	505	1	0	1	0	122	23	3067.968750ns
72	-44	507	0	0	1	0	639	21	15991.406250ns
73	-44	508	0	0	1	0	2145	10	53632.812500ns
74	-44	508	1	0	1	0	2229	8	55731.250000ns
75	-44	513	0	0	1	0	2887	10	72182.812500ns
76	-44	515	0	0	1	0	2385	18	59639.062500ns
77	-44	515	1	0	1	0	2391	31	59799.218750ns
78	-44	515	2	0	1	0	2473	9	61832.031250ns
79	-44	515	3	0	1	0	2485	27	62146.093750ns
80	-44	518	0	0	1	0	1198	9	29957.031250ns
81	-44	518	1	0	1	0	1203	29	30097.656250ns
82	-44	518	2	0	1	0	1289	3	32227.343750ns
83	-44	522	0	0	1	0	1633	20	40840.625000ns
84	-44	522	1	0	1	0	1643	11	41083.593750ns
85	-44	522	2	0	1	0	1731	0	43275.000000ns
86	-44	525	0	0	1	0	2354	18	58864.062500ns
87	-44	525	1	0	1	0	2449	23	61242.968750ns
88	-44	525	2	0	1	0	2453	1	61325.781250ns
89	-44	525	3	0	1	0	3060	30	76523.437500ns
90	-44	526	0	0	1	0	451	23	11292.968750ns
91	-44	526	1	0	1	0	458	10	11457.812500ns
92	-44	526	2	0	1	0	546	9	13657.031250ns
93	-44	526	3	0	1	0	549	9	13732.031250ns
94	-44	527	0	0	1	0	2898	3	72452.343750ns
95	-44	527	1	0	1	0	2980	12	74509.375000ns
96	-44	527	2	0	1	0	2983	13	74585.156250ns
97	-44	527	3	0	1	0	2986	8	74656.250000ns
98	-44	530	0	0	1	0	2229	4	55728.125000ns
99	-44	530	1	0	1	0	2311	22	57792.187500ns
100	-44	530	2	0	1	0	2318	0	57950.000000ns
101	-44	531	0	0	1	0	562	8	14056.250000ns
102	-44	531	1	0	1	0	769	7	19230.468750ns
103	-44	531	2	0	1	0	776	0	19400.000000ns
104	-44	531	3	0	1	0	863	26	21595.312500ns
105	-44	533	0	0	1	0	1842	0	46050.000000ns
106	-44	534	0	0	1	0	3890	28	97271.875000ns
107	-44	534	1	0	1	0	3986	0	99650.000000ns
108	-44	535	0	0	1	0	2704	10	67607.812500ns
109	-44	535	1	0	1	0	2911	14	72785.937500ns
110	-44	535	2	0	1	0	3005	11	75133.593750ns
111	-44	535	3	0	1	0	3008	16	75212.500000ns
