thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	5	4000	1788.85
-56	9	7200	2400
-52	18	14400	3394.11
-48	37	29600	4866.21
-44	61	48800	6248.2
-40	96	76800	7838.37
-36	120	96000	8763.56
-32	64	51200	6400
-28	149	119200	9765.24
-24	468	374400	17306.6
-20	1532	1.2256e+06	31312.6
-16	3481	2.7848e+06	47200
-12	3492	2.7936e+06	47274.5
-8	3236	2.5888e+06	45508.7
-4	3451	2.7608e+06	46996.2
0	3500	2.8e+06	47328.6
4	2718	2.1744e+06	41707.6
8	967	773600	24877.3
12	363	290400	15242
16	241	192800	12419.3
20	190	152000	11027.2
24	109	87200	8352.25
28	65	52000	6449.81
32	30	24000	4381.78
36	6	4800	1959.59
40	5	4000	1788.85
44	3	2400	1385.64
48	1	800	800
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
