thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	4	4000	2000
-64	5	5000	2236.07
-60	17	17000	4123.11
-56	49	49000	7000
-52	97	97000	9848.86
-48	114	114000	10677.1
-44	159	159000	12609.5
-40	274	274000	16552.9
-36	345	345000	18574.2
-32	464	464000	21540.7
-28	680	680000	26076.8
-24	1242	1.242e+06	35242
-20	2101	2.101e+06	45836.7
-16	5286	5.286e+06	72704.9
-12	6899	6.899e+06	83060.2
-8	6886	6.886e+06	82981.9
-4	6873	6.873e+06	82903.6
0	6896	6.896e+06	83042.2
4	3100	3.1e+06	55677.6
8	548	548000	23409.4
12	183	183000	13527.7
16	65	65000	8062.26
20	27	27000	5196.15
24	29	29000	5385.16
28	21	21000	4582.58
32	11	11000	3316.62
36	13	13000	3605.55
40	3	3000	1732.05
44	2	2000	1414.21
48	1	1000	1000
52	1	1000	1000
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
