thr	hits	freq	error
-84	0	0	
-80	1	1000	1000
-76	7	7000	2645.75
-72	14	14000	3741.66
-68	13	13000	3605.55
-64	16	16000	4000
-60	22	22000	4690.42
-56	37	37000	6082.76
-52	50	50000	7071.07
-48	78	78000	8831.76
-44	58	58000	7615.77
-40	51	51000	7141.43
-36	101	101000	10049.9
-32	247	247000	15716.2
-28	571	571000	23895.6
-24	1630	1.63e+06	40373.3
-20	4218	4.218e+06	64946.1
-16	6890	6.89e+06	83006
-12	6882	6.882e+06	82957.8
-8	6645	6.645e+06	81516.9
-4	6466	6.466e+06	80411.4
0	6891	6.891e+06	83012
4	6825	6.825e+06	82613.6
8	3389	3.389e+06	58215.1
12	1142	1.142e+06	33793.5
16	326	326000	18055.5
20	224	224000	14966.6
24	118	118000	10862.8
28	65	65000	8062.26
32	42	42000	6480.74
36	24	24000	4898.98
40	47	47000	6855.65
44	12	12000	3464.1
48	18	18000	4242.64
52	10	10000	3162.28
56	9	9000	3000
60	7	7000	2645.75
64	7	7000	2645.75
68	6	6000	2449.49
72	1	1000	1000
