-64	0	0
-62	0	0
-60	0	0
-58	0	0
-56	0	0
-54	0	0
-52	0	0
-50	1	2000
-48	0	0
-46	3	6000
-44	2	4000
-42	3	6000
-40	7	14000
-38	21	42000
-36	26	52000
-34	7	14000
-32	16	32000
-30	13	26000
-28	33	66000
-26	35	70000
-24	43	86000
-22	22	44000
-20	60	120000
-18	110	220000
-16	195	390000
-14	299	598000
-12	386	772000
-10	456	912000
-8	494	988000
-6	512	1.024e+06
-4	505	1.01e+06
-2	469	938000
0	410	820000
2	295	590000
4	203	406000
6	91	182000
8	51	102000
10	39	78000
12	26	52000
14	10	20000
16	6	12000
18	15	30000
20	10	20000
22	4	8000
24	2	4000
26	1	2000
28	0	0
30	1	2000
32	0	0
34	0	0
36	0	0
38	0	0
40	0	0
42	0	0
44	0	0
46	0	0
48	0	0
50	0	0
52	0	0
54	0	0
