thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	3	1200	692.82
-64	3	1200	692.82
-60	6	2400	979.796
-56	0	0	
-52	4	1600	800
-48	20	8000	1788.85
-44	32	12800	2262.74
-40	93	37200	3857.46
-36	97	38800	3939.54
-32	221	88400	5946.43
-28	215	86000	5865.15
-24	362	144800	7610.52
-20	896	358400	11973.3
-16	3278	1.3112e+06	22901.5
-12	3645	1.458e+06	24149.5
-8	3650	1.46e+06	24166.1
-4	3650	1.46e+06	24166.1
0	3650	1.46e+06	24166.1
4	3985	1.594e+06	25250.7
8	2119	847600	18413
12	760	304000	11027.2
16	291	116400	6823.49
20	158	63200	5027.92
24	118	47200	4345.11
28	56	22400	2993.33
32	29	11600	2154.07
36	18	7200	1697.06
40	9	3600	1200
44	2	800	565.685
48	1	400	400
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
