thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	3	1200	692.82
-72	3	1200	692.82
-68	21	8400	1833.03
-64	22	8800	1876.17
-60	50	20000	2828.43
-56	61	24400	3124.1
-52	124	49600	4454.21
-48	123	49200	4436.21
-44	196	78400	5600
-40	198	79200	5628.5
-36	260	104000	6449.81
-32	303	121200	6962.76
-28	567	226800	9524.7
-24	915	366000	12099.6
-20	2958	1.1832e+06	21755
-16	3526	1.4104e+06	23752.1
-12	3553	1.4212e+06	23842.8
-8	3588	1.4352e+06	23960
-4	3544	1.4176e+06	23812.6
0	3650	1.46e+06	24166.1
4	3650	1.46e+06	24166.1
8	4137	1.6548e+06	25727.8
12	3196	1.2784e+06	22613.3
16	3913	1.5652e+06	25021.6
20	566	226400	9516.3
24	376	150400	7756.29
28	253	101200	6362.39
32	169	67600	5200
36	132	52800	4595.65
40	101	40400	4019.95
44	86	34400	3709.45
48	71	28400	3370.46
52	31	12400	2227.11
56	26	10400	2039.61
60	10	4000	1264.91
64	6	2400	979.796
68	4	1600	800
72	1	400	400
