thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	1	400	400
-68	2	800	565.685
-64	0	0	
-60	12	4800	1385.64
-56	30	12000	2190.89
-52	37	14800	2433.11
-48	83	33200	3644.17
-44	116	46400	4308.13
-40	166	66400	5153.64
-36	161	64400	5075.43
-32	319	127600	7144.23
-28	400	160000	8000
-24	840	336000	11593.1
-20	2721	1.0884e+06	20865.3
-16	4112	1.6448e+06	25650
-12	3650	1.46e+06	24166.1
-8	3650	1.46e+06	24166.1
-4	3650	1.46e+06	24166.1
0	3650	1.46e+06	24166.1
4	4659	1.8636e+06	27302.7
8	1163	465200	13641.1
12	406	162400	8059.78
16	240	96000	6196.77
20	212	84800	5824.09
24	163	65200	5106.86
28	101	40400	4019.95
32	86	34400	3709.45
36	44	17600	2653.3
40	11	4400	1326.65
44	7	2800	1058.3
48	3	1200	692.82
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
