thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	1	800	800
-64	5	4000	1788.85
-60	4	3200	1600
-56	18	14400	3394.11
-52	43	34400	5245.95
-48	80	64000	7155.42
-44	117	93600	8653.32
-40	154	123200	9927.74
-36	237	189600	12315.8
-32	240	192000	12393.5
-28	354	283200	15051.9
-24	763	610400	22098
-20	1947	1.5576e+06	35299.9
-16	3467	2.7736e+06	47105
-12	3496	2.7968e+06	47301.6
-8	3405	2.724e+06	46681.9
-4	3429	2.7432e+06	46846.1
0	3497	2.7976e+06	47308.4
4	2974	2.3792e+06	43627.5
8	1034	827200	25724.7
12	466	372800	17269.6
16	252	201600	12699.6
20	129	103200	9086.25
24	131	104800	9156.42
28	105	84000	8197.56
32	42	33600	5184.59
36	23	18400	3836.67
40	9	7200	2400
44	5	4000	1788.85
48	2	1600	1131.37
52	1	800	800
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
