thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	10	8000	2529.82
-72	18	14400	3394.11
-68	30	24000	4381.78
-64	59	47200	6144.92
-60	120	96000	8763.56
-56	113	90400	8504.12
-52	100	80000	8000
-48	130	104000	9121.4
-44	144	115200	9600
-40	215	172000	11730.3
-36	185	148000	10881.2
-32	244	195200	12496.4
-28	634	507200	20143.5
-24	1656	1.3248e+06	32555.2
-20	3491	2.7928e+06	47267.7
-16	3486	2.7888e+06	47233.9
-12	3390	2.712e+06	46579
-8	2947	2.3576e+06	43429
-4	3395	2.716e+06	46613.3
0	3494	2.7952e+06	47288.1
4	3498	2.7984e+06	47315.1
8	3121	2.4968e+06	44692.7
12	1273	1.0184e+06	28543.3
16	442	353600	16819
20	264	211200	12998.5
24	87	69600	7461.9
28	104	83200	8158.43
32	101	80800	8039.9
36	73	58400	6835.2
40	58	46400	6092.62
44	53	42400	5824.09
48	33	26400	4595.65
52	23	18400	3836.67
56	22	17600	3752.33
60	3	2400	1385.64
64	3	2400	1385.64
68	4	3200	1600
72	1	800	800
