thr	hits	freq	error
-54	23	2300	479.583
-50	42	4200	648.074
-46	62	6200	787.401
-42	80	8000	894.427
-38	120	12000	1095.45
-34	211	21100	1452.58
-30	352	35200	1876.17
-26	598	59800	2445.4
-22	1493	149300	3863.94
-18	4403	440300	6635.51
-14	17534	7.0136e+06	52966.4
-10	15226	1.21808e+07	98714.9
-6	16516	1.32128e+07	102812
-2	15728	1.25824e+07	100329
2	5509	4.4072e+06	59378.1
6	1490	1.192e+06	30880.4
10	426	340800	16511.8
14	225	180000	12000
18	38	30400	4931.53
22	21	16800	3666.06
26	6	4800	1959.59
30	14	11200	2993.33
34	9	7200	2400
38	3	2400	1385.64
42	0	0	
