thr	hits	freq	error
-54	0	0	
-50	0	0	
-46	2	200	141.421
-42	3	300	173.205
-38	8	800	282.843
-34	27	2700	519.615
-30	60	6000	774.597
-26	103	10300	1014.89
-22	126	12600	1122.5
-18	224	22400	1496.66
-14	437	43700	2090.45
-10	1529	152900	3910.24
-6	14550	5.82e+06	48249.4
-2	14783	1.18264e+07	97268.3
2	11097	8.8776e+06	84273.8
6	2426	1.9408e+06	39403.6
10	695	556000	21090.3
14	212	169600	11648.2
18	55	44000	5932.96
22	73	58400	6835.2
26	35	28000	4732.86
30	12	9600	2771.28
34	6	4800	1959.59
38	3	2400	1385.64
42	0	0	
