thr	hits	freq	error
-84	0	0	
-80	3	1200	692.82
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	2	800	565.685
-56	6	2400	979.796
-52	27	10800	2078.46
-48	68	27200	3298.48
-44	112	44800	4233.2
-40	188	75200	5484.52
-36	206	82400	5741.08
-32	293	117200	6846.9
-28	705	282000	10620.7
-24	2471	988400	19883.7
-20	4160	1.664e+06	25799.2
-16	3650	1.46e+06	24166.1
-12	3650	1.46e+06	24166.1
-8	3650	1.46e+06	24166.1
-4	3650	1.46e+06	24166.1
0	3651	1.4604e+06	24169.4
4	632	252800	10055.8
8	197	78800	5614.27
12	136	54400	4664.76
16	50	20000	2828.43
20	25	10000	2000
24	5	2000	894.427
28	0	0	
32	1	400	400
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
