thr	hits	freq	error
-84	2	800	565.685
-80	23	9200	1918.33
-76	23	9200	1918.33
-72	68	27200	3298.48
-68	41	16400	2561.25
-64	96	38400	3919.18
-60	109	43600	4176.12
-56	209	83600	5782.73
-52	185	74000	5440.59
-48	268	107200	6548.28
-44	248	99200	6299.21
-40	418	167200	8178.02
-36	400	160000	8000
-32	794	317600	11271.2
-28	1604	641600	16020
-24	3588	1.4352e+06	23960
-20	3735	1.494e+06	24445.9
-16	3650	1.46e+06	24166.1
-12	3650	1.46e+06	24166.1
-8	3650	1.46e+06	24166.1
-4	3650	1.46e+06	24166.1
0	3650	1.46e+06	24166.1
4	3650	1.46e+06	24166.1
8	4283	1.7132e+06	26177.9
12	2836	1.1344e+06	21301.6
16	1254	501600	14164.7
20	623	249200	9983.99
24	575	230000	9591.66
28	312	124800	7065.41
32	234	93600	6118.82
36	186	74400	5455.27
40	204	81600	5713.14
44	176	70400	5306.6
48	109	43600	4176.12
52	80	32000	3577.71
56	46	18400	2712.93
60	35	14000	2366.43
64	19	7600	1743.56
68	6	2400	979.796
72	5	2000	894.427
