thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	3	1500	866.025
-46	3	1500	866.025
-42	27	13500	2598.08
-38	53	26500	3640.05
-34	107	53500	5172.04
-30	203	101500	7123.9
-26	323	161500	8986.1
-22	629	314500	12539.9
-18	1937	968500	22005.7
-14	5528	2.764e+06	37175.3
-10	16011	8.0055e+06	63267.3
-6	13198	1.3198e+07	114883
-2	12751	1.2751e+07	112920
2	6406	6.406e+06	80037.5
6	755	755000	27477.3
10	110	110000	10488.1
14	21	21000	4582.58
18	11	11000	3316.62
22	5	5000	2236.07
26	1	1000	1000
30	0	0	
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
