thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	0	0	
-46	2	1000	707.107
-42	8	4000	1414.21
-38	26	13000	2549.51
-34	76	38000	4358.9
-30	237	118500	7697.4
-26	409	204500	10111.9
-22	1141	570500	16889.3
-18	3546	1.773e+06	29774.1
-14	17693	8.8465e+06	66507.5
-10	13362	1.3362e+07	115594
-6	13282	1.3282e+07	115248
-2	12047	1.2047e+07	109759
2	1485	1.485e+06	38535.7
6	83	83000	9110.43
10	24	24000	4898.98
14	3	3000	1732.05
18	1	1000	1000
22	0	0	
26	0	0	
30	0	0	
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
