thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	0	0	
-46	0	0	
-42	0	0	
-38	4	2000	1000
-34	9	4500	1500
-30	46	23000	3391.16
-26	91	45500	4769.7
-22	218	109000	7382.41
-18	360	180000	9486.83
-14	1642	821000	20260.8
-10	12647	6.3235e+06	56229.4
-6	13201	1.3201e+07	114896
-2	13004	1.3004e+07	114035
2	8016	8.016e+06	89532.1
6	2788	2.788e+06	52801.5
10	694	694000	26343.9
14	106	106000	10295.6
18	15	15000	3872.98
22	8	8000	2828.43
26	3	3000	1732.05
30	4	4000	2000
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
