thr	hits	freq	error
-84	224	179200	11973.3
-80	192	153600	11085.1
-76	67	53600	6548.28
-72	79	63200	7110.56
-68	97	77600	7879.09
-64	75	60000	6928.2
-60	85	68000	7375.64
-56	80	64000	7155.42
-52	144	115200	9600
-48	156	124800	9992
-44	381	304800	15615.4
-40	163	130400	10213.7
-36	437	349600	16723.6
-32	509	407200	18048.8
-28	674	539200	20769.2
-24	1034	827200	25724.7
-20	1636	1.3088e+06	32358
-16	2128	1.7024e+06	36904.2
-12	1603	1.2824e+06	32030
-8	1361	1.0888e+06	29513.4
-4	1669	1.3352e+06	32682.7
0	2024	1.6192e+06	35991.1
4	1887	1.5096e+06	34751.7
8	1865	1.492e+06	34548.5
12	1821	1.4568e+06	34138.5
16	1030	824000	25674.9
20	508	406400	18031.1
24	455	364000	17064.6
28	366	292800	15304.9
32	306	244800	13994.3
36	361	288800	15200
40	259	207200	12874.8
44	149	119200	9765.24
48	153	122400	9895.45
52	131	104800	9156.42
56	96	76800	7838.37
60	121	96800	8800
64	88	70400	7504.67
68	54	43200	5878.78
72	129	103200	9086.25
