thr	hits	freq	error
-84	1	1000	1000
-80	9	9000	3000
-76	7	7000	2645.75
-72	58	58000	7615.77
-68	118	118000	10862.8
-64	152	152000	12328.8
-60	266	266000	16309.5
-56	332	332000	18220.9
-52	429	429000	20712.3
-48	494	494000	22226.1
-44	584	584000	24166.1
-40	750	750000	27386.1
-36	715	715000	26739.5
-32	1048	1.048e+06	32372.8
-28	1732	1.732e+06	41617.3
-24	2648	2.648e+06	51458.7
-20	4763	4.763e+06	69014.5
-16	6879	6.879e+06	82939.7
-12	6892	6.892e+06	83018.1
-8	6714	6.714e+06	81939
-4	6483	6.483e+06	80517.1
0	6900	6.9e+06	83066.2
4	6790	6.79e+06	82401.5
8	4093	4.093e+06	63976.6
12	2472	2.472e+06	49719.2
16	1505	1.505e+06	38794.3
20	989	989000	31448.4
24	651	651000	25514.7
28	567	567000	23811.8
32	458	458000	21400.9
36	368	368000	19183.3
40	248	248000	15748
44	212	212000	14560.2
48	178	178000	13341.7
52	121	121000	11000
56	74	74000	8602.33
60	52	52000	7211.1
64	32	32000	5656.85
68	13	13000	3605.55
72	3	3000	1732.05
