#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
103	-48	475	2	0	1	0	486	19	12164.843750ns
104	-48	477	0	0	1	0	226	30	5673.437500ns
105	-48	477	1	0	1	0	895	16	22387.500000ns
106	-48	477	2	0	1	0	991	15	24786.718750ns
107	-48	481	0	0	1	0	295	12	7384.375000ns
108	-48	481	1	0	1	0	302	10	7557.812500ns
109	-48	481	2	0	1	0	390	25	9769.531250ns
110	-48	481	3	0	1	0	813	5	20328.906250ns
111	-48	481	4	0	1	0	901	31	22549.218750ns
112	-48	483	0	0	1	0	262	1	6550.781250ns
113	-48	483	1	0	1	0	274	5	6853.906250ns
114	-48	483	2	0	1	0	357	1	8925.781250ns
115	-48	483	3	0	1	0	756	12	18909.375000ns
116	-48	483	4	0	1	0	852	19	21314.843750ns
117	-48	484	0	0	1	0	465	21	11641.406250ns
118	-48	484	1	0	1	0	554	13	13860.156250ns
119	-48	485	0	0	1	0	413	28	10346.875000ns
120	-48	485	1	0	1	0	502	1	12550.781250ns
121	-48	485	2	0	1	0	905	29	22647.656250ns
122	-48	488	0	0	1	0	452	8	11306.250000ns
123	-48	488	1	0	1	0	458	23	11467.968750ns
124	-48	488	2	0	1	0	553	18	13839.062500ns
125	-48	489	0	0	1	0	491	15	12286.718750ns
126	-48	489	1	0	1	0	498	1	12450.781250ns
127	-48	489	2	0	1	0	586	30	14673.437500ns
128	-48	489	3	0	1	0	589	24	14743.750000ns
129	-48	490	0	0	1	0	173	8	4331.250000ns
130	-48	490	1	0	1	0	183	5	4578.906250ns
131	-48	490	2	0	1	0	271	20	6790.625000ns
132	-48	490	3	0	1	0	894	8	22356.250000ns
133	-48	490	4	0	1	0	906	4	22653.125000ns
134	-48	490	5	0	1	0	989	2	24726.562500ns
135	-48	491	0	0	1	0	192	0	4800.000000ns
136	-48	491	1	0	1	0	287	14	7185.937500ns
137	-48	491	2	0	1	0	290	25	7269.531250ns
138	-48	491	3	0	1	0	893	7	22330.468750ns
139	-48	491	4	0	1	0	988	3	24702.343750ns
140	-48	493	0	0	1	0	454	30	11373.437500ns
141	-48	493	1	0	1	0	543	12	13584.375000ns
142	-48	495	0	0	1	0	505	20	12640.625000ns
143	-48	495	1	0	1	0	595	3	14877.343750ns
144	-48	496	0	0	1	0	495	24	12393.750000ns
145	-48	496	1	0	1	0	505	4	12628.125000ns
146	-48	496	2	0	1	0	594	2	14851.562500ns
147	-48	499	0	0	1	0	372	4	9303.125000ns
148	-48	499	1	0	1	0	467	22	11692.187500ns
149	-48	500	0	0	1	0	204	29	5122.656250ns
150	-48	500	1	0	1	0	293	30	7348.437500ns
151	-48	500	2	0	1	0	932	19	23314.843750ns
152	-44	501	0	0	1	0	570	4	14253.125000ns
153	-44	501	1	0	1	0	576	2	14401.562500ns
154	-44	503	0	0	1	0	387	13	9685.156250ns
155	-44	503	1	0	1	0	397	7	9930.468750ns
156	-44	503	2	0	1	0	399	30	9998.437500ns
157	-44	503	3	0	1	0	482	31	12074.218750ns
158	-44	503	4	0	1	0	486	2	12151.562500ns
159	-44	504	0	0	1	0	446	26	11170.312500ns
160	-44	504	1	0	1	0	529	4	13228.125000ns
161	-44	505	0	0	1	0	219	24	5493.750000ns
162	-44	505	1	0	1	0	222	14	5560.937500ns
163	-44	505	2	0	1	0	312	4	7803.125000ns
164	-44	505	3	0	1	0	318	8	7956.250000ns
165	-44	505	4	0	1	0	935	16	23387.500000ns
166	-44	505	5	0	1	0	942	11	23558.593750ns
167	-44	506	0	0	1	0	427	5	10678.906250ns
168	-44	506	1	0	1	0	513	1	12825.781250ns
169	-44	506	2	0	1	0	516	20	12915.625000ns
170	-44	506	3	0	1	0	519	25	12994.531250ns
171	-44	506	4	0	1	0	522	27	13071.093750ns
172	-44	508	0	0	1	0	145	0	3625.000000ns
173	-44	508	1	0	1	0	234	4	5853.125000ns
174	-44	508	2	0	1	0	866	18	21664.062500ns
175	-44	508	3	0	1	0	952	4	23803.125000ns
176	-44	508	4	0	1	0	956	2	23901.562500ns
177	-44	508	5	0	1	0	962	3	24052.343750ns
178	-44	509	0	0	1	0	445	13	11135.156250ns
179	-44	509	1	0	1	0	451	31	11299.218750ns
180	-44	509	2	0	1	0	455	22	11392.187500ns
181	-44	509	3	0	1	0	458	3	11452.343750ns
182	-44	511	0	0	1	0	453	14	11335.937500ns
183	-44	511	1	0	1	0	459	18	11489.062500ns
184	-44	511	2	0	1	0	555	2	13876.562500ns
185	-44	514	0	0	1	0	409	16	10237.500000ns
186	-44	514	1	0	1	0	415	29	10397.656250ns
187	-44	514	2	0	1	0	419	6	10479.687500ns
188	-44	514	3	0	1	0	422	2	10551.562500ns
189	-44	514	4	0	1	0	505	10	12632.812500ns
190	-44	516	0	0	1	0	417	21	10441.406250ns
191	-44	516	1	0	1	0	430	12	10759.375000ns
192	-44	516	2	0	1	0	512	29	12822.656250ns
193	-44	516	3	0	1	0	516	6	12904.687500ns
194	-44	517	0	0	1	0	455	30	11398.437500ns
195	-44	517	1	0	1	0	463	0	11575.000000ns
196	-44	517	2	0	1	0	551	1	13775.781250ns
197	-44	518	0	0	1	0	584	9	14607.031250ns
198	-44	520	0	0	1	0	205	6	5129.687500ns
199	-44	520	1	0	1	0	292	3	7302.343750ns
200	-44	520	2	0	1	0	301	20	7540.625000ns
201	-44	520	3	0	1	0	911	27	22796.093750ns
